[TOUCHLOG] t=13557ms line line_after=high raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13615ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13643ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13693ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13724ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13774ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13793ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13816ms line line_after=high raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13883ms line line_after=low raw=[16, 0e, 0f, 55, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13913ms line line_after=low raw=[16, 0e, 0f, 54, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13965ms line line_after=low raw=[16, 0e, 0f, 54, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=13975ms line line_after=high raw=[16, 0e, 0f, 54, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14045ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14076ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14095ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14144ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14163ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14186ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14253ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14283ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14357ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14366ms line line_after=high raw=[ab, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=14414ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=14442ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14519ms poll line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14571ms poll line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14596ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14665ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14696ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14715ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14765ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14784ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14806ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14852ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14865ms line line_after=high raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=14953ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=15002ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=15035ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=15054ms line line_after=low raw=[16, 0e, 0f, 63, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
