[TOUCHLOG] t=11373ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11403ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11439ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11514ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11549ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11591ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11639ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11675ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11702ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11777ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11812ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11858ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11908ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11944ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=11971ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12046ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12080ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12127ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12177ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12229ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12309ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12322ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12402ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12433ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12464ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12492ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12567ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12653ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12684ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12715ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12750ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12800ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12869ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12917ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12932ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=12983ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13019ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13069ms poll line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13130ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13151ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13202ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13238ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13287ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13302ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13352ms line line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13411ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13456ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13470ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13520ms line line_after=low raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13557ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13607ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13664ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13708ms poll line_after=high raw=[06, 0d, 0d, 4e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 243 }])
[TOUCHLOG] t=13758ms poll line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=13794ms poll line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=13820ms line line_after=low raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=13900ms poll line_after=low raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=13910ms line line_after=low raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=13942ms line line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=13978ms poll line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14027ms poll line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14042ms line line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14093ms poll line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14129ms poll line_after=low raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14191ms line line_after=low raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14211ms line line_after=high raw=[06, 0d, 0d, 4d, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 244 }])
[TOUCHLOG] t=14263ms poll line_after=high raw=[06, 0d, 0d, 4c, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 245 }])
[TOUCHLOG] t=14291ms line line_after=high raw=[06, 0d, 0d, 4c, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 253, y: 245 }])
[TOUCHLOG] t=14343ms poll line_after=high raw=[06, 0d, 0d, 5c, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 245 }])
[TOUCHLOG] t=14402ms line line_after=high raw=[06, 0d, 0d, 5c, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 245 }])
[TOUCHLOG] t=14459ms poll line_after=low raw=[06, 0d, 0d, 5c, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 245 }])
[TOUCHLOG] t=14491ms line line_after=low raw=[06, 0d, 0d, 5b, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 246 }])
[TOUCHLOG] t=14511ms line line_after=high raw=[06, 0d, 0d, 5b, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 246 }])
[TOUCHLOG] t=14541ms poll line_after=high raw=[06, 0d, 0d, 5b, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 246 }])
[TOUCHLOG] t=14561ms line line_after=low raw=[06, 0d, 0d, 5b, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 246 }])
[TOUCHLOG] t=14614ms poll line_after=high raw=[06, 0d, 0d, 5a, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 247 }])
[TOUCHLOG] t=14649ms poll line_after=low raw=[06, 0d, 0d, 5a, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 247 }])
[TOUCHLOG] t=14726ms poll line_after=high raw=[06, 0d, 0d, 5a, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 247 }])
[TOUCHLOG] t=14740ms line line_after=low raw=[06, 0d, 0d, 5a, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 247 }])
[TOUCHLOG] t=14823ms poll line_after=high raw=[06, 0d, 0d, 59, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 248 }])
[TOUCHLOG] t=14855ms poll line_after=high raw=[06, 0d, 0d, 59, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 248 }])
[TOUCHLOG] t=14886ms poll line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=14935ms poll line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=14997ms poll line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=15038ms poll line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=15087ms poll line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=15101ms line line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=15152ms line line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=15188ms poll line_after=high raw=[06, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 252, y: 249 }])
[TOUCHLOG] t=15246ms poll line_after=high raw=[00, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=15289ms poll line_after=high raw=[ab, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=15341ms poll line_after=high raw=[ab, 0d, 0d, 58, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=19305ms line line_after=high raw=[06, 07, 0e, 14, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 352, y: 237 }])
[TOUCHLOG] t=19355ms line line_after=high raw=[06, 08, 0e, 66, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 331, y: 235 }])
[TOUCHLOG] t=19414ms line line_after=low raw=[06, 0a, 0e, 29, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 303, y: 232 }])
[TOUCHLOG] t=19446ms line line_after=high raw=[06, 0b, 0e, 19, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 288, y: 232 }])
[TOUCHLOG] t=19481ms poll line_after=high raw=[06, 0b, 0e, ca, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 277, y: 231 }])
[TOUCHLOG] t=19515ms poll line_after=high raw=[06, 0c, 0e, 5c, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 268, y: 229 }])
[TOUCHLOG] t=19575ms line line_after=low raw=[06, 0d, 0e, 2e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 255, y: 227 }])
[TOUCHLOG] t=19608ms poll line_after=high raw=[06, 0d, 0f, d0, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 244, y: 225 }])
[TOUCHLOG] t=19642ms poll line_after=high raw=[06, 0e, 0f, 92, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 232, y: 223 }])
[TOUCHLOG] t=19674ms line line_after=low raw=[06, 0f, 0f, 44, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 221, y: 221 }])
[TOUCHLOG] t=19708ms poll line_after=high raw=[06, 10, 0f, 17, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 208, y: 218 }])
[TOUCHLOG] t=19743ms poll line_after=low raw=[06, 10, 0f, 68, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 203, y: 217 }])
[TOUCHLOG] t=19778ms poll line_after=high raw=[06, 10, 0f, ec, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 195, y: 213 }])
